,AUC_rank_mean,AUC_rank_mean,AUC_rank_mean,AUC_rank_mean,AUC_rank_mean,normalized_AUC__test_mean,normalized_AUC__test_mean,normalized_AUC__test_std,normalized_AUC__test_std,time_per_1000_inst_mean_AUC,time_per_1000_inst_mean_AUC
,min,max,mean,median,count,mean,median,mean,median,mean,median
alg_name,,,,,,,,,,,
Ours-1,1,22,7.51,5,98,0.91,0.97,0.14,0.07,0.46,0.32
CatBoost,1,27,8.28,6,98,0.92,0.97,0.15,0.07,20.51,1.95
TabPFN,1,29,8.46,5,98,0.84,0.97,0.15,0.08,0.74,0.56
XGBoost,1,25,9.10,8,98,0.91,0.96,0.16,0.09,0.85,0.38
Ours-2,1,25,9.28,8,98,0.89,0.96,0.15,0.08,0.36,0.22
TabSmall,1,29,10.08,8,98,0.82,0.95,0.16,0.09,0.35,0.20
ResNet,1,28,10.53,9,98,0.85,0.93,0.16,0.10,15.99,8.83
SAINT,1,27,10.60,9.5,98,0.86,0.94,0.16,0.11,170.56,146.15
RandomForest,1,25,10.61,11,98,0.90,0.95,0.16,0.09,0.47,0.32
HyperFast,1,24,10.63,9,97,0.87,0.94,0.15,0.09,89.75,53.45
DANet,1,25,12.27,12,98,0.85,0.92,0.16,0.08,64.29,57.18
LightGBM,1,28,12.77,12,98,0.85,0.93,0.18,0.09,0.90,0.29
NODE,1,29,13.23,14,98,0.83,0.91,0.16,0.11,160.76,131.73
TabFlex,1,28,13.48,13.5,98,0.84,0.91,0.16,0.10,0.31,0.15
FTTransformer,1,29,13.68,15,98,0.81,0.89,0.17,0.11,27.91,18.04
DeepFM,1,29,14.03,15,61,0.77,0.87,0.19,0.12,6.05,4.89
TabFast,1,26,14.43,14,98,0.82,0.90,0.16,0.10,0.08,0.04
MLP-rtdl,1,28,14.45,14.5,98,0.75,0.88,0.18,0.11,15.21,7.09
SVM,1,28,14.95,16.5,98,0.78,0.89,0.19,0.09,61.18,2.06
STG,1,29,16.73,19,98,0.71,0.82,0.20,0.14,18.58,15.98
TuneTables,1,29,17.72,19,98,0.70,0.81,0.25,0.16,73.40,32.96
LinearModel,1,29,18.03,20,98,0.67,0.78,0.19,0.14,0.04,0.03
TabNet,1,29,18.47,20,98,0.68,0.85,0.26,0.14,35.12,29.34
MLP,1,27,18.47,20.5,98,0.68,0.76,0.20,0.13,18.31,11.23
TabTransformer,1,29,18.57,21,67,0.61,0.72,0.17,0.13,22.05,13.45
DecisionTree,1,29,20.21,22,98,0.63,0.74,0.24,0.18,0.03,0.01
KNN,1,29,21.29,22,98,0.61,0.70,0.21,0.14,0.05,0.03
VIME,1,29,21.79,24,98,0.54,0.60,0.25,0.15,17.98,15.60
NAM,1,29,23.70,26,61,0.44,0.39,0.27,0.19,233.77,97.99
