,AUC_rank_mean,AUC_rank_mean,AUC_rank_mean,AUC_rank_mean,AUC_rank_mean,normalized_AUC__test_mean,normalized_AUC__test_mean,normalized_AUC__test_std,normalized_AUC__test_std,time_per_1000_inst_mean_AUC,time_per_1000_inst_mean_AUC
,min,max,mean,median,count,mean,median,mean,median,mean,median
alg_name,,,,,,,,,,,
Ours-1 (default),1,43,12.85,9,98,0.92,0.97,0.12,0.05,0.46,0.32
Ours-1,1,43,12.85,9,98,0.92,0.97,0.12,0.05,0.46,0.32
CatBoost,1,54,14.54,11,98,0.93,0.97,0.12,0.06,20.51,1.95
TabPFN (default),1,56,14.80,9,98,0.85,0.97,0.13,0.06,0.74,0.56
TabPFN,1,56,14.80,9,98,0.85,0.97,0.13,0.06,0.74,0.56
CatBoost (default),1,53,15.70,13.5,98,0.93,0.97,0.12,0.06,14.76,1.56
Ours-2,1,47,16.35,13.5,98,0.91,0.96,0.12,0.06,0.36,0.22
Ours-2 (default),1,47,16.35,13.5,98,0.91,0.96,0.12,0.06,0.36,0.22
XGBoost,1,46,16.44,14,98,0.92,0.98,0.13,0.06,0.85,0.38
TabSmall (default),1,56,18.01,13.5,98,0.84,0.96,0.13,0.07,0.35,0.20
TabSmall,1,56,18.01,13.5,98,0.84,0.96,0.13,0.07,0.35,0.20
HyperFast,1,43,18.80,17,97,0.88,0.95,0.12,0.06,89.75,53.45
HyperFast (default),1,43,18.80,17,97,0.88,0.95,0.12,0.06,89.75,53.45
RandomForest,1,49,19.09,18.5,98,0.91,0.96,0.13,0.07,0.47,0.32
ResNet,1,56,19.12,19,98,0.87,0.95,0.13,0.07,15.99,8.83
SAINT,1,52,19.39,17,98,0.88,0.95,0.13,0.07,170.56,146.15
XGBoost (default),1,52,19.86,19,98,0.90,0.97,0.12,0.07,1.08,0.60
DANet,1,48,22.33,21,98,0.87,0.95,0.13,0.06,64.29,57.18
ResNet (default),1,53,22.36,23,98,0.84,0.93,0.14,0.08,15.39,8.28
LightGBM (default),1,52,22.62,20.5,98,0.88,0.96,0.13,0.07,1.19,0.47
RandomForest (default),1,50,22.73,21,98,0.88,0.93,0.12,0.06,0.55,0.42
LightGBM,1,54,23.21,22,98,0.87,0.95,0.14,0.06,0.90,0.29
NODE,1,55,23.77,24,98,0.85,0.93,0.14,0.08,160.76,131.73
SAINT (default),1,54,24.36,25,94,0.85,0.92,0.14,0.08,136.31,111.67
TabFlex (default),1,53,24.44,24,98,0.86,0.92,0.13,0.07,0.31,0.15
TabFlex,1,53,24.44,24,98,0.86,0.92,0.13,0.07,0.31,0.15
FTTransformer,1,57,25.01,27,98,0.83,0.91,0.14,0.07,27.91,18.04
DeepFM,1,56,25.75,26,61,0.80,0.90,0.15,0.11,6.05,4.89
MLP-rtdl,1,55,26.07,26.5,98,0.79,0.91,0.14,0.07,15.21,7.09
NODE (default),1,57,26.17,27,98,0.83,0.92,0.14,0.09,60.72,48.99
TabFast (default),1,50,26.36,25.5,98,0.85,0.92,0.13,0.07,0.08,0.04
TabFast,1,50,26.36,25.5,98,0.85,0.92,0.13,0.07,0.08,0.04
SVM,1,56,27.27,30,98,0.82,0.92,0.15,0.07,61.18,2.06
DeepFM (default),1,56,28.48,29,61,0.75,0.89,0.19,0.10,6.10,4.91
FTTransformer (default),1,55,28.99,32,98,0.76,0.88,0.16,0.11,24.12,14.70
DANet (default),1,56,30.53,32,98,0.78,0.88,0.16,0.08,44.86,38.56
STG,1,55,30.54,35.5,98,0.76,0.87,0.16,0.11,18.58,15.98
MLP-rtdl (default),1,54,32.07,36.5,98,0.68,0.82,0.18,0.11,13.41,6.18
TuneTables (default),1,55,32.54,34,98,0.74,0.85,0.20,0.13,73.40,32.96
TuneTables,1,55,32.54,34,98,0.74,0.85,0.20,0.13,73.40,32.96
MLP,1,55,33.54,38,98,0.73,0.85,0.15,0.08,18.31,11.23
LinearModel,1,57,33.56,37,98,0.72,0.84,0.15,0.09,0.04,0.03
TabNet,1,57,34.03,36.5,98,0.74,0.89,0.19,0.11,35.12,29.34
TabTransformer,1,56,34.39,39,67,0.70,0.79,0.13,0.11,22.05,13.45
SVM (default),1,57,34.83,38,98,0.67,0.80,0.17,0.09,1.14,0.38
TabNet (default),1,56,37.68,42,98,0.67,0.82,0.24,0.13,28.09,25.75
DecisionTree,1,56,37.78,41,98,0.71,0.77,0.18,0.13,0.03,0.01
KNN,1,57,39.32,40.5,98,0.68,0.74,0.17,0.11,0.05,0.03
TabTransformer (default),1,57,39.37,46,67,0.53,0.58,0.18,0.13,21.68,14.18
VIME,1,55,39.97,44.5,98,0.63,0.73,0.18,0.11,17.98,15.60
MLP (default),1,57,40.13,45,98,0.58,0.60,0.20,0.15,17.35,9.51
DecisionTree (default),1,56,40.50,45,98,0.67,0.75,0.19,0.13,0.02,0.01
KNN (default),1,57,40.83,43,98,0.65,0.69,0.17,0.11,0.05,0.03
STG (default),1,57,41.01,45.5,98,0.57,0.59,0.19,0.13,16.40,13.62
NAM,1,57,44.80,49,61,0.57,0.63,0.19,0.14,233.77,97.99
VIME (default),1,57,44.93,49.5,98,0.45,0.37,0.26,0.19,15.75,14.10
NAM (default),1,57,47.44,51,61,0.43,0.49,0.25,0.19,145.75,47.18
