,Accuracy_rank_mean,Accuracy_rank_mean,Accuracy_rank_mean,Accuracy_rank_mean,Accuracy_rank_mean,normalized_Accuracy__test_mean,normalized_Accuracy__test_mean,normalized_Accuracy__test_std,normalized_Accuracy__test_std,time_per_1000_inst_mean_Accuracy,time_per_1000_inst_mean_Accuracy
,min,max,mean,median,count,mean,median,mean,median,mean,median
alg_name,,,,,,,,,,,
CatBoost,1,39,10.09,5,35,0.90,0.94,0.09,0.07,40.51,1.43
XGBoost,1,50,11.25,4,36,0.91,0.96,0.10,0.06,1.49,0.26
ResNet,1,40,12.89,11,35,0.85,0.91,0.11,0.07,8.09,5.17
XGBoost (default),1,49,13.03,8,36,0.86,0.92,0.09,0.06,1.46,0.41
CatBoost (default),1,42,14.69,12,35,0.84,0.90,0.09,0.06,28.24,0.97
LightGBM (default),1,46,16.41,13.5,32,0.86,0.90,0.12,0.07,1.46,0.62
LightGBM,1,43,16.56,15,32,0.88,0.92,0.13,0.06,1.11,0.45
RandomForest,3,47,17.43,16,35,0.82,0.86,0.10,0.07,0.36,0.25
MLP-rtdl,1,41,17.47,17,36,0.80,0.85,0.09,0.05,7.02,4.41
SAINT,1,51,17.89,12,27,0.79,0.89,0.10,0.08,126.28,76.83
FTTransformer,1,49,18.03,15,29,0.79,0.86,0.11,0.08,18.67,14.31
NODE,2,37,18.77,18.5,30,0.83,0.89,0.12,0.08,121.25,115.18
NODE (default),1,39,18.90,18,30,0.82,0.87,0.11,0.09,52.33,42.21
Ours-1 (default),1,49,18.92,19,36,0.70,0.82,0.08,0.05,0.51,0.29
Ours-1,1,49,18.92,19,36,0.70,0.82,0.08,0.05,0.51,0.29
HyperFast,1,53,18.97,15.5,30,0.81,0.87,0.11,0.08,41.75,29.03
HyperFast (default),1,53,18.97,15.5,30,0.81,0.87,0.11,0.08,41.75,29.03
ResNet (default),1,46,19.49,18,35,0.80,0.88,0.14,0.07,7.34,4.72
SAINT (default),1,52,19.55,14.5,22,0.78,0.91,0.12,0.11,111.19,83.87
TabPFN (default),1,56,22.78,21,36,0.60,0.69,0.11,0.09,0.50,0.44
TabPFN,1,56,22.78,21,36,0.60,0.69,0.11,0.09,0.50,0.44
Ours-2,1,46,23.14,23,36,0.68,0.83,0.09,0.06,0.42,0.17
Ours-2 (default),1,46,23.14,23,36,0.68,0.83,0.09,0.06,0.42,0.17
DANet,3,48,23.37,19,27,0.81,0.88,0.13,0.10,65.84,64.58
DeepFM,7,43,24.43,25,21,0.79,0.81,0.15,0.11,6.62,4.96
MLP-rtdl (default),1,49,24.61,22,36,0.71,0.78,0.10,0.07,5.88,3.90
MLP,3,49,26.28,23.5,36,0.72,0.75,0.10,0.06,8.66,5.23
SVM,1,49,26.48,26,29,0.77,0.84,0.09,0.08,17.84,3.25
DeepFM (default),9,54,26.62,26,21,0.77,0.81,0.15,0.12,6.51,5.00
TabNet,3,57,26.85,25,33,0.74,0.81,0.14,0.09,27.45,25.28
TabSmall,1,56,27.00,28,36,0.56,0.65,0.10,0.07,0.19,0.12
TabSmall (default),1,56,27.00,28,36,0.56,0.65,0.10,0.07,0.19,0.12
FTTransformer (default),1,48,27.07,30,29,0.69,0.79,0.10,0.09,15.80,11.48
TabFast,6,49,27.72,23,36,0.60,0.65,0.09,0.07,0.23,0.04
TabFast (default),6,49,27.72,23,36,0.60,0.65,0.09,0.07,0.23,0.04
TabFlex (default),4,49,28.47,27.5,36,0.62,0.73,0.09,0.07,0.43,0.17
TabFlex,4,49,28.47,27.5,36,0.62,0.73,0.09,0.07,0.43,0.17
RandomForest (default),6,48,28.49,30,35,0.69,0.75,0.09,0.07,0.35,0.28
DecisionTree,5,51,29.34,29,35,0.70,0.78,0.10,0.07,0.21,0.02
TabTransformer,5,54,30.38,34,26,0.71,0.76,0.11,0.06,12.76,11.37
DANet (default),14,49,31.11,30,27,0.73,0.76,0.15,0.10,40.64,38.95
STG,8,53,32.74,36,31,0.66,0.81,0.11,0.07,15.99,15.53
MLP (default),6,51,33.08,33.5,36,0.62,0.60,0.12,0.08,8.17,4.46
SVM (default),4,54,33.11,38,28,0.62,0.69,0.11,0.10,4.31,0.82
TuneTables,3,52,33.81,37,31,0.64,0.69,0.14,0.12,43.86,19.94
TuneTables (default),3,52,33.81,37,31,0.64,0.69,0.14,0.12,43.86,19.94
LinearModel,8,55,34.21,33.5,34,0.59,0.73,0.09,0.07,0.04,0.02
TabTransformer (default),6,57,34.38,32.5,26,0.56,0.62,0.20,0.08,14.39,11.37
KNN,5,56,35.00,39,33,0.60,0.67,0.10,0.07,0.24,0.03
DecisionTree (default),7,55,35.31,36,35,0.58,0.66,0.11,0.07,0.12,0.02
TabNet (default),8,56,35.94,40,31,0.63,0.72,0.19,0.14,24.06,23.43
KNN (default),8,57,37.48,40,33,0.55,0.63,0.12,0.08,0.24,0.03
VIME,9,54,38.50,40.5,32,0.54,0.52,0.10,0.08,21.51,14.92
STG (default),8,57,42.71,45,31,0.45,0.35,0.11,0.08,13.72,13.20
NAM,19,55,44.62,48.5,16,0.54,0.50,0.12,0.10,75.61,43.26
VIME (default),18,57,45.32,49,31,0.33,0.14,0.11,0.05,20.15,12.80
NAM (default),33,57,51.25,54.5,16,0.28,0.13,0.22,0.20,42.83,34.24
