,F1_rank_mean,F1_rank_mean,F1_rank_mean,F1_rank_mean,F1_rank_mean,normalized_F1__test_mean,normalized_F1__test_mean,normalized_F1__test_std,normalized_F1__test_std,time_per_1000_inst_mean_F1,time_per_1000_inst_mean_F1
,min,max,mean,median,count,mean,median,mean,median,mean,median
alg_name,,,,,,,,,,,
Ours-1,1,26,6.58,5,57,0.87,0.94,0.28,0.22,0.56,0.38
TabPFN,1,25,7.07,5,57,0.86,0.94,0.27,0.22,1.11,0.93
Ours-2,1,21,7.40,5,57,0.86,0.94,0.28,0.23,0.48,0.29
TabSmall,1,21,7.40,5,57,0.86,0.94,0.28,0.23,0.48,0.29
CatBoost,1,26,8.51,6,57,0.86,0.92,0.31,0.26,26.45,2.75
ResNet,1,28,10.26,9,57,0.80,0.85,0.33,0.26,23.95,13.99
RandomForest,1,25,11.46,11,57,0.79,0.86,0.31,0.25,0.55,0.41
SAINT,1,27,11.95,11,57,0.77,0.87,0.34,0.29,200.69,185.94
FTTransformer,1,24,12.07,12,57,0.79,0.83,0.33,0.30,33.57,26.52
XGBoost,1,26,12.35,13,57,0.78,0.83,0.34,0.26,0.98,0.62
TabFlex,1,29,12.68,12,57,0.75,0.81,0.30,0.24,0.47,0.28
HyperFast,1,29,12.88,11,57,0.76,0.85,0.33,0.26,136.74,64.38
NODE,1,27,12.91,13,57,0.77,0.80,0.28,0.26,177.77,145.07
DeepFM,1,29,13.58,13,38,0.70,0.77,0.34,0.33,6.07,5.75
MLP-rtdl,1,27,13.86,13,57,0.69,0.74,0.31,0.28,21.74,12.33
TabFast,1,28,14.21,14,57,0.73,0.80,0.29,0.23,0.12,0.06
SVM,1,27,14.26,15,57,0.73,0.78,0.27,0.28,22.81,0.42
LightGBM,1,28,14.95,15,57,0.72,0.78,0.37,0.29,0.63,0.23
LinearModel,1,28,15.67,17,57,0.65,0.73,0.30,0.26,0.06,0.05
DANet,1,28,16.33,17,57,0.73,0.77,0.33,0.29,84.46,71.30
DecisionTree,1,28,16.60,19,57,0.68,0.75,0.37,0.29,0.02,0.01
MLP,1,28,17.37,20,57,0.62,0.62,0.30,0.28,28.17,16.94
STG,1,29,17.44,18,57,0.62,0.68,0.32,0.30,21.18,18.24
TabTransformer,1,29,17.47,18.5,36,0.62,0.72,0.24,0.23,32.65,18.08
TuneTables,1,29,19.00,21,57,0.57,0.66,0.41,0.30,113.49,53.48
KNN,1,29,19.47,21,57,0.51,0.57,0.30,0.26,0.03,0.03
NAM,1,29,21.08,24,38,0.46,0.50,0.28,0.27,339.88,184.61
TabNet,8,29,21.54,24,57,0.49,0.55,0.43,0.37,41.89,34.77
VIME,2,29,22.00,24,57,0.39,0.37,0.29,0.27,19.20,16.51
