,F1_rank_mean,F1_rank_mean,F1_rank_mean,F1_rank_mean,F1_rank_mean,normalized_F1__test_mean,normalized_F1__test_mean,normalized_F1__test_std,normalized_F1__test_std,train_per_1000_inst_mean_F1,train_per_1000_inst_mean_F1
,min,max,mean,median,count,mean,median,mean,median,mean,median
alg_name,,,,,,,,,,,
CatBoost,1,33,9.06,5,35,0.90,0.95,0.09,0.07,40.62,1.42
XGBoost,1,44,9.36,4,36,0.91,0.96,0.09,0.06,1.52,0.26
ResNet,1,32,11.34,9,35,0.85,0.91,0.11,0.07,8.07,4.97
XGBoost (default),1,39,11.61,9,36,0.86,0.92,0.09,0.06,1.40,0.41
CatBoost (default),1,35,13.40,11,35,0.84,0.90,0.09,0.07,22.88,0.97
LightGBM (default),1,36,13.56,11.5,32,0.87,0.91,0.12,0.07,1.46,0.61
LightGBM,1,39,13.81,11,32,0.88,0.92,0.12,0.07,1.11,0.44
SAINT,1,42,14.78,9,27,0.80,0.90,0.10,0.08,127.38,76.69
RandomForest,3,40,15.20,15,35,0.82,0.86,0.09,0.06,0.33,0.21
MLP-rtdl,1,37,15.31,13,36,0.80,0.86,0.09,0.05,6.93,4.04
FTTransformer,1,41,15.31,12,29,0.79,0.87,0.10,0.08,18.82,14.58
NODE,3,33,16.17,15.5,30,0.83,0.88,0.12,0.08,123.28,115.13
NODE (default),1,34,16.63,17,30,0.81,0.87,0.11,0.09,52.26,42.19
SAINT (default),1,44,16.82,12,22,0.78,0.91,0.12,0.11,111.07,83.68
Ours (default),1,41,17.03,18,36,0.71,0.84,0.08,0.05,0.00,0.00
Ours,1,41,17.03,18,36,0.71,0.84,0.08,0.05,0.00,0.00
ResNet (default),1,40,17.17,15,35,0.80,0.87,0.14,0.07,7.28,4.72
DANet,3,42,18.85,16,27,0.82,0.89,0.13,0.09,66.33,63.09
TabPFN,1,48,19.72,18.5,36,0.60,0.75,0.11,0.09,0.00,0.00
TabPFN (default),1,48,19.72,18.5,36,0.60,0.75,0.11,0.09,0.00,0.00
DeepFM,7,36,21.29,22,21,0.79,0.84,0.15,0.11,6.61,4.94
MLP-rtdl (default),1,43,22.00,22,36,0.71,0.78,0.10,0.07,5.82,3.89
TabFast (default),1,46,22.25,23,36,0.60,0.72,0.11,0.08,0.00,0.00
TabFast,1,46,22.25,23,36,0.60,0.72,0.11,0.08,0.00,0.00
TabNet,3,49,22.67,21,33,0.74,0.80,0.14,0.08,27.20,25.26
SVM,1,41,22.97,26,29,0.77,0.84,0.09,0.09,17.30,3.13
FTTransformer (default),1,41,23.07,27,29,0.69,0.83,0.10,0.09,15.73,11.42
MLP,3,41,23.22,20.5,36,0.72,0.78,0.10,0.07,8.56,5.21
DeepFM (default),9,46,23.29,24,21,0.77,0.81,0.16,0.12,6.51,4.98
DecisionTree,5,42,24.77,24,35,0.72,0.78,0.10,0.06,0.21,0.02
RandomForest (default),6,41,25.00,25,35,0.69,0.75,0.09,0.06,0.32,0.27
TabFlex,2,41,25.72,28.5,36,0.59,0.71,0.08,0.05,0.00,0.00
TabFlex (default),2,41,25.72,28.5,36,0.59,0.71,0.08,0.05,0.00,0.00
TabTransformer,6,46,26.35,28,26,0.71,0.77,0.11,0.06,12.95,11.22
DANet (default),12,42,26.85,26,27,0.73,0.75,0.15,0.10,40.59,38.95
STG,6,45,28.16,28,31,0.66,0.82,0.11,0.07,15.97,15.72
SVM (default),2,46,28.36,33,28,0.63,0.69,0.10,0.09,4.19,0.80
MLP (default),6,43,28.56,30,36,0.61,0.56,0.12,0.07,8.13,4.44
LinearModel,9,47,28.71,28.5,34,0.59,0.76,0.09,0.06,0.04,0.02
DecisionTree (default),7,47,29.71,30,35,0.59,0.62,0.11,0.07,0.12,0.02
TabTransformer (default),5,49,29.73,29.5,26,0.55,0.59,0.20,0.08,14.33,11.31
KNN,5,48,29.88,32,33,0.60,0.71,0.10,0.07,0.02,0.00
TabNet (default),4,48,30.74,33,31,0.64,0.75,0.19,0.13,24.04,23.40
KNN (default),7,49,32.24,34,33,0.56,0.66,0.12,0.08,0.03,0.00
VIME,10,46,33.25,34.5,32,0.54,0.50,0.10,0.08,21.70,14.96
STG (default),8,49,36.68,40,31,0.45,0.37,0.11,0.07,13.72,13.20
NAM,15,47,38.12,41,16,0.54,0.50,0.12,0.10,75.61,43.26
VIME (default),16,49,39.13,43,31,0.32,0.14,0.10,0.05,20.10,12.79
NAM (default),31,49,44.38,46.5,16,0.28,0.13,0.22,0.20,42.82,34.23
