,Log Loss_rank_mean,Log Loss_rank_mean,Log Loss_rank_mean,Log Loss_rank_mean,Log Loss_rank_mean,normalized_Log Loss__test_mean,normalized_Log Loss__test_mean,normalized_Log Loss__test_std,normalized_Log Loss__test_std,time_per_1000_inst_mean_Log Loss,time_per_1000_inst_mean_Log Loss
,min,max,mean,median,count,mean,median,mean,median,mean,median
alg_name,,,,,,,,,,,
CatBoost,1,44,12.84,10.5,98,0.02,0.01,0.02,0.02,13.90,1.67
Ours-1 (default),1,48,13.49,10.5,98,0.03,0.01,0.02,0.01,0.46,0.32
Ours-1,1,48,13.49,10.5,98,0.03,0.01,0.02,0.01,0.46,0.32
XGBoost,1,40,13.97,11,98,0.02,0.01,0.02,0.02,0.74,0.37
CatBoost (default),1,43,14.89,13,98,0.03,0.01,0.02,0.01,15.66,1.58
TabPFN (default),1,56,15.34,10,98,0.06,0.01,0.03,0.01,0.67,0.53
TabPFN,1,56,15.34,10,98,0.06,0.01,0.03,0.01,0.67,0.53
Ours-2,1,52,17.72,13.5,98,0.04,0.01,0.03,0.01,0.36,0.22
Ours-2 (default),1,52,17.72,13.5,98,0.04,0.01,0.03,0.01,0.36,0.22
XGBoost (default),1,52,18.73,18,98,0.03,0.02,0.02,0.02,1.13,0.62
SAINT,1,51,19.40,18.5,98,0.03,0.01,0.03,0.02,202.87,173.47
TabSmall (default),1,56,19.68,14.5,98,0.08,0.01,0.04,0.02,0.35,0.20
TabSmall,1,56,19.68,14.5,98,0.08,0.01,0.04,0.02,0.35,0.20
SAINT (default),1,53,20.96,19.5,94,0.04,0.01,0.03,0.02,136.31,111.67
ResNet,1,48,21.93,21,98,0.04,0.02,0.03,0.02,16.28,9.02
TabFlex (default),1,46,22.26,20.5,98,0.05,0.02,0.03,0.02,0.31,0.15
TabFlex,1,46,22.26,20.5,98,0.05,0.02,0.03,0.02,0.31,0.15
TabFast (default),5,49,22.28,21,98,0.06,0.02,0.03,0.01,0.08,0.04
TabFast,5,49,22.28,21,98,0.06,0.02,0.03,0.01,0.08,0.04
LightGBM,1,56,22.71,22.5,98,0.05,0.02,0.08,0.03,0.83,0.28
LightGBM (default),1,52,22.78,22,98,0.05,0.02,0.04,0.02,1.19,0.47
SVM,1,52,22.93,24,98,0.04,0.02,0.03,0.01,49.86,1.23
DANet,1,53,23.04,23,98,0.04,0.03,0.04,0.03,71.73,61.42
FTTransformer,1,45,24.39,24.5,98,0.05,0.03,0.04,0.03,29.77,18.52
ResNet (default),1,54,25.37,25.5,98,0.06,0.03,0.05,0.02,15.39,8.28
RandomForest (default),2,53,25.56,25.5,98,0.07,0.02,0.02,0.01,0.55,0.42
STG,1,51,25.68,26,98,0.05,0.02,0.02,0.01,18.82,15.86
DeepFM,1,56,27.20,24,61,0.13,0.04,0.05,0.02,5.90,4.63
RandomForest,1,52,27.92,29,98,0.06,0.04,0.07,0.02,0.33,0.26
HyperFast,1,55,28.74,30,97,0.10,0.04,0.06,0.04,89.75,53.45
HyperFast (default),1,55,28.74,30,97,0.10,0.04,0.06,0.04,89.75,53.45
SVM (default),1,56,29.54,31,98,0.08,0.03,0.02,0.01,1.14,0.38
LinearModel,1,52,29.65,32,98,0.09,0.03,0.03,0.02,0.04,0.03
FTTransformer (default),1,52,30.13,31.5,98,0.11,0.04,0.05,0.04,24.04,15.06
DeepFM (default),2,57,30.20,28,61,0.20,0.05,0.08,0.03,6.10,4.91
MLP-rtdl,1,51,30.46,32,98,0.12,0.05,0.06,0.04,13.91,8.01
TabTransformer,1,52,31.52,32,67,0.09,0.05,0.04,0.02,21.15,12.19
NODE,1,49,31.54,33.5,98,0.08,0.04,0.01,0.01,197.05,176.29
DANet (default),4,53,32.64,33,98,0.08,0.04,0.05,0.03,44.86,38.56
MLP,2,52,33.14,34,98,0.11,0.05,0.05,0.03,18.44,11.00
NODE (default),5,50,33.30,36,98,0.10,0.05,0.01,0.01,60.72,48.99
MLP-rtdl (default),1,56,33.62,34.5,98,0.23,0.06,0.10,0.04,13.41,6.18
TabNet,1,57,33.63,35.5,98,0.17,0.07,0.15,0.06,34.68,29.71
TuneTables (default),8,54,35.11,36.5,98,0.12,0.06,0.08,0.05,73.40,32.96
TuneTables,8,54,35.11,36.5,98,0.12,0.06,0.08,0.05,73.40,32.96
TabNet (default),2,57,36.31,39,98,0.24,0.09,0.18,0.06,28.09,25.75
STG (default),1,55,36.64,39,98,0.11,0.05,0.02,0.01,16.40,13.62
MLP (default),2,54,36.67,39,98,0.23,0.08,0.08,0.03,17.34,9.51
TabTransformer (default),2,56,37.33,43,67,0.15,0.07,0.04,0.02,21.68,14.18
NAM,4,56,38.30,41,61,0.15,0.07,0.02,0.01,266.64,145.98
VIME,3,56,39.34,42,98,0.16,0.08,0.03,0.02,17.07,14.93
KNN,2,57,41.58,44,98,0.17,0.09,0.12,0.06,0.05,0.03
DecisionTree,1,55,42.06,47.5,98,0.22,0.13,0.19,0.13,0.02,0.01
VIME (default),15,57,46.16,48,98,0.30,0.14,0.06,0.01,15.75,14.10
KNN (default),7,57,46.18,49,98,0.33,0.18,0.17,0.11,0.05,0.03
DecisionTree (default),1,57,46.90,51,98,0.48,0.34,0.29,0.21,0.02,0.01
NAM (default),6,57,47.87,52,61,0.36,0.26,0.14,0.03,145.75,47.18
